"Position","Address","Description","Price","Thumbnail","Thumbnail2","Thumbnail3","Thumbnail4","ListingUrl"
33,"Gleneagle Road, London, SW16","Two bedroom maisonette is located on the first floor of a Victorian period conversion.","£1,700 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133985291/34358_STR100364_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133985291/34358_STR100364_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133985291/34358_STR100364_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133985291#/?channel=RES_LET"
34,"Culmington Road, West Ealing","A recently decorated bright and spacious two bedroom flat situated only a short walk away from Walpole Park. Ideal for a professional couple, with communal gardens and residents parking.","£1,998 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84791/133983752/84791_32273380_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84791/133983752/84791_32273380_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84791/133983752/84791_32273380_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133983752#/?channel=RES_LET"
35,"Farrant Avenue, London, N22 6PG","Cosy 3 bedroom terraced house to rent, featuring a private rear garden and with excellent access to both Wood Green tube & shopping centre. Available NOW, exclusively with Network Agencies","£1,900 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53310/133511594/53310_farrantavenue313_IMG_08_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53310/133511594/53310_farrantavenue313_IMG_08_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53310/133511594/53310_farrantavenue313_IMG_08_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133511594#/?channel=RES_LET"
36,"Buckleigh Road, LONDON, SW16","Two bedroom first floor Victorian conversion flat Situated just 0.4 miles from Streatham Common station makes it ideal for those looking to commute to central London. Balham is a 4 minute (1 stop) train journey away which connects the property to the London Underground network. A frequent service...","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133982360/34358_STR180046_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133982360/34358_STR180046_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133982360/34358_STR180046_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133982360#/?channel=RES_LET"
37,"Brownlow Road","A chance to rent this 2 bedroom flat on the ground floor of this period conversion, the property offers a wealth of space and is well laid out comprising of an large lounge, a fitted kitchen, 2 bedrooms, a bathroom and its own garden. The property benefits from having Gas central heating, double ...","£1,650 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38480/133981883/38480_102728000661_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38480/133981883/38480_102728000661_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38480/133981883/38480_102728000661_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133981883#/?channel=RES_LET"
38,"LONG LANE, FINCHLEY N3","THREE DOUBLE BEDROOMand TWO BATHROOM 1st/2nd floor converted flat forming part of substantial Victorian house, set back from road, located just off Ballards Lane, close to shops, buses, Finchley Central underground station & Victoria Park. THREE DOUBLE BEDROOM and TWO BATHROOM 1st/2nd floor conv...","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82444/133981862/82444_2302729_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82444/133981862/82444_2302729_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82444/133981862/82444_2302729_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133981862#/?channel=RES_LET"
39,"Wayford Street, Clapham, London","A completely refurbished two double bedroom apartment located only a few moments to Clapham Junction and the High Street. The property has been interior designed to a very high standard and offers incredible space in every room, two separate storage cupboards, a large eat in fitted kitchen with d...","£1,800 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75328/80325470/75328_27587158_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75328/80325470/75328_27587158_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75328/80325470/75328_27587158_IMG_00_0001_max_476x317.jpeg","https://www.rightmove.co.uk/properties/80325470#/?channel=RES_LET"
40,"Belsize Road, South Hampstead NW6","A spacious two bedroom apartment in a period conversion in the nbsp;South Hampstead area. The apartment is spread over two floors with a large open plan kitchen lounge, two double bedrooms and a fully tiled bathroom with bath and shower. The decor is neutral throughout with wood floors and tiling...","£1,950 pcm",,,,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32793/133977884/32793_38054_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133977884#/?channel=RES_LET"
41,"Eastwood Street, Furzedown, London, SW16","A recently refurbished two double bedroom garden flat to rent in Eastwood Street, Furzedown. The property is in immaculate condition throughout, comprising of: two double bedrooms, open plan kitchen/reception with utility room, modern bathroom and a patio area. Eastwood Street is situ...","£1,750 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45012/133975127/45012_FRD210104_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45012/133975127/45012_FRD210104_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45012/133975127/45012_FRD210104_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133975127#/?channel=RES_LET"
42,"Derby Road, London, SW14","A light and spacious first floor apartment.","£1,600 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214331/133974449/214331_KEW220057_L_IMG_06_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214331/133974449/214331_KEW220057_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214331/133974449/214331_KEW220057_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133974449#/?channel=RES_LET"
43,"Wandsworth Road, London, SW8","We are pleased to present this beautiful 2-bed flat on the 8th floor in Clapham area.*AVAILABLE NOW*The property benefits of a fully fitted kitchen/diner, separate living area, two double bedrooms and bathroom. Within minutes walk to shops, pubs, restaurants and transport links.","£1,750 pcm",,,,,"https://www.rightmove.co.uk/properties/133972058#/?channel=RES_LET"
44,"Oakleigh Park North, Whetstone","***ZERO DEPOSIT GUARANTEE AVAILABLE*** A neatly presented three bedroom purpose built second floor apartment. The property which features neutral decor throughout and modern kitchen further benefits from a balcony and ample storage space, free parking and a convenient location equidistant to Tot...","£1,750 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66176/133971488/66176_P5995C1425_IMG_01_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66176/133971488/66176_P5995C1425_IMG_01_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66176/133971488/66176_P5995C1425_IMG_01_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133971488#/?channel=RES_LET"
45,"Ponder Street, Islington, London, N7","Two bedroom GROUND FLOOR FLAT just a short walk away from CALEDONIAN ROAD. Benefitting from WOOD FLOORING, separate FITTED KITCHEN, lounge, two bedrooms, bathroom and direct access to COMMUNAL GARDEN. Part Furnished.","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233699/132900608/233699_101380005362_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233699/132900608/233699_101380005362_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233699/132900608/233699_101380005362_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/132900608#/?channel=RES_LET"
46,"Lower Downs Road, London, SW20","Spacious 2 bedroom first floor flat in Raynes Park, new to the market. This bright and airy property offers 2 double bedrooms, modern family, separate WC and spacious reception. There is an integrated kitchen with lots of room for storage.. Located 0.5 miles from Raynes Park Station (National Rai...","£1,550 pcm","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194222/133969022/194222_HRP230258_L_IMG_00_0000_max_476x317.jpeg",,,,"https://www.rightmove.co.uk/properties/133969022#/?channel=RES_LET"
47,"Falkland Road, Harringay, N8","A bright and spacious split level two bedroom flat located on a residential road with in a short walk from Turnpike Lane tube station & Hornsey train station. The property has direct access (from kitchen diner) to shared use of a nice GARDEN, a large reception room with stripped floor boards, a l...","£1,695 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73781/132665813/73781_32193999_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73781/132665813/73781_32193999_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73781/132665813/73781_32193999_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/132665813#/?channel=RES_LET"
48,"Jubilee Building, 98 Jamaica Road, London, SE16","A wellpresented dual aspect two bedroom, two bathroom apartment with balcony located moments from Bermondsey underground station, excellent local shopping facilities and the river with it's fashionable riverside cafes, bars and restaurants.","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11351/133964876/11351_ROT210132_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11351/133964876/11351_ROT210132_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11351/133964876/11351_ROT210132_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133964876#/?channel=RES_LET"
49,"9 Greenwich Quay, Clarence Road, London, SE8","A stunning recently refurbished two bedroom flat set on the second floor in a fantastic location, boasting a large reception room with views over Deptford Creek and a fully integrated open-plan kitchen. Located close to the banks of the River Thames, boasting easy access to central Gre...","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11351/133964870/11351_ROT190656_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11351/133964870/11351_ROT190656_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11351/133964870/11351_ROT190656_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133964870#/?channel=RES_LET"
50,"Ascham End, London, E17","Modernised trendy apartment for 1-2 occupants This trendy apartment is is over 530 ft2 (50 m2) and has access to a garden, private parking and wifi. 1-2 occupants can apply for it, not more and it... ** Property Reference: 1650936 **","£1,445 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/132568493/96668_155430617112022_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/132568493/96668_155430617112022_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/132568493/96668_155430617112022_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/132568493#/?channel=RES_LET"
51,"Holden Road, Finchley,  N12, N12","Top floor apartment situated in modern purpose built developement set back off Holden Road within a quarter mile radius of Woodside Park Northern Line Underground Station.","£1,650 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35969/133960928/35969_06910076_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35969/133960928/35969_06910076_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35969/133960928/35969_06910076_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133960928#/?channel=RES_LET"
52,"Chadwell Lane, Hornsey, N8","Available 15th April 2023. Unfurnished: An exquisite example of a naturally bright and spacious two bedroom, contemporary apartment. Set on the fourth floor of this highly desirable purpose built complex and further comprising modern bathroom, open plan kitchen/reception that can be extended i...","£2,000 pcm","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174338/132380249/174338_2658214_IMG_00_0000_max_476x317.jpeg",,,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174338/132380249/174338_2658214_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/132380249#/?channel=RES_LET"
53,"Kilburn High Road, Kilburn, NW6","THIS ONE'S FOR YOU IF... you love freshly painted walls, newly carpeted bedrooms, lots of natural light and being high in the sky. You want a nice, convenient location to spend your weekends on sunny strolls with loads of food, drink and parks nearby. Having two bathrooms always helps;...","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62636/133960235/62636_PAR170140_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62636/133960235/62636_PAR170140_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62636/133960235/62636_PAR170140_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133960235#/?channel=RES_LET"
54,"Highlands Avenue, London, W3","*NEWLY REFURBISHED**BRAND NEW APPLICANCES & FURNITURE**Available to move in now* *Rent Directly form Landlord*, Situated on a highly desirable no-through road, this well presented 2 double... ** Property Reference: 1239145 **","£1,999 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133958885/96668_123914518102021_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133958885/96668_123914518102021_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133958885/96668_123914518102021_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133958885#/?channel=RES_LET"
55,"Amesbury Court, 11 Crofton Way, ENFIELD, Middlesex, EN2","A TWO bedroom TOP FLOOR apartment situated off THE RIDGEWAY and easy reach of Enfield Town Shopping Centre. Benefits include SPACIOUS LOUNGE GAS CENTRAL HEATING, DOUBLE BEDROOMS, COMMUNAL PARKING and OFFERED IN VERY GOOD CONDITION.","£1,500 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35516/133958540/35516_EEL200004_L_IMG_00_0000_max_476x317.png","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35516/133958540/35516_EEL200004_L_IMG_00_0000_max_476x317.png","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35516/133958540/35516_EEL200004_L_IMG_00_0000_max_476x317.png","https://www.rightmove.co.uk/properties/133958540#/?channel=RES_LET"
56,"High Street, Southgate, London N14","| Two bedrooms | Short walk to Southgate tube station | Gas central heating | Off-street allocated parking | Gated development | Excellent location to schools | Short walk to Southgate Tube station | Available 2nd May | A two bedroom top floor apartment set within this private secure gated dev...","£1,700 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/117k/116041/131424698/116041_11760941_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/117k/116041/131424698/116041_11760941_IMG_01_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/117k/116041/131424698/116041_11760941_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/131424698#/?channel=RES_LET"
57,"Stag Lane, London, NW9","Available Now - Newly Refurbished - 2 Bedroom Flat - First Floor - 1 Double Bedroom - 1 Single Bedroom - Large Reception Room - On Street Parking Only - No Garden Access - Part Furnished - Electric Bill £120 Per Month - Council Tax Band B","£1,750 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/112k/111497/133956701/111497_26198180_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/112k/111497/133956701/111497_26198180_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/112k/111497/133956701/111497_26198180_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133956701#/?channel=RES_LET"
58,"Waverley Road, ENFIELD","Barnfields are delighted to offer for 3 DOUBLE BEDROOM apartment in a sought after location within a short walk of Enfield Chase Station and Enfield Town. Minimum contract 12 months. Please call for more details. Rent excludes the Tenancy Deposit and any other permitted charges or fees - please...","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3843/133956251/3843_P5829E5921_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3843/133956251/3843_P5829E5921_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3843/133956251/3843_P5829E5921_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133956251#/?channel=RES_LET"
59,"Brockley Road, Brockley","A brand new fully refurbished first floor flat comprising two double bedrooms a large open plan kitchen / living space with wood floors throughout and a modern walk in shower room.","£1,700 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66897/133368242/66897_32240526_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66897/133368242/66897_32240526_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66897/133368242/66897_32240526_IMG_00_0001_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133368242#/?channel=RES_LET"
60,"Merton Park Parade, London, SW19","A smart, and well located two bedroom apartment just a short walk to Wimbledon Chase station and Wimbledon Town centre. Consisting of two bedrooms, both with fitted wardrobes, a bathroom with walk in shower, and a good sized reception, leading out to a a fully fitted kitchen. (U) EPC-...","£1,450 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194231/133955723/194231_HWB190129_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194231/133955723/194231_HWB190129_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194231/133955723/194231_HWB190129_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133955723#/?channel=RES_LET"
61,"High Street, Hornsey, Crouch End, London","Excellent two double bedroom flat to rent set within a gated development in Hornsey. The property comprises of two double bedrooms, wooden flooring throughout, fully fitted kitchen, living area and modern bathroom. The property benefits from off street parking and is available furnished or unfurn...","£1,800 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176261/80679007/176261_102708021991_IMG_01_0000_max_476x317.jpg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176261/80679007/176261_102708021991_IMG_01_0000_max_476x317.jpg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176261/80679007/176261_102708021991_IMG_01_0000_max_476x317.jpg","https://www.rightmove.co.uk/properties/80679007#/?channel=RES_LET"
62,"Hammersmith Road, London, W14","Two bedroom flat in heart of Kensington. The property benefits from: separate living room, wooden flooring and double-glazed windows. Located within a short walk to Kensington Olympia, West Kensington and Baron's Court stations.","£1,603 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75829/66287372/75829_4ham89_IMG_00_0000_max_476x317.JPG","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75829/66287372/75829_4ham89_IMG_00_0000_max_476x317.JPG","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75829/66287372/75829_4ham89_IMG_00_0000_max_476x317.JPG","https://www.rightmove.co.uk/properties/66287372#/?channel=RES_LET"
63,"Clifford Avenue, London, SW14","The property benefits of a fully fitted kitchen/dinner, two bedrooms, bathroom. New carpet will be fitted!Well located - within minutes walk to shops and transport links. Ideal for working professionals.","£1,750 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/133947290/76165_guyjgbuj_IMG_04_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/133947290/76165_guyjgbuj_IMG_04_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/133947290/76165_guyjgbuj_IMG_04_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133947290#/?channel=RES_LET"
64,"Shooters Hill, Blackheath, London, SE3","The Storey: Set on the second floor of this beautiful Victorian conversion is this 870 Sq. ft two bedroom apartment on Shooters Hill, Blackheath SE3. Offering a spacious reception room with two large sash windows and feature fire place, large built-in kitchen with breakfast bar, two g...","£1,600 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176102/107084723/176102_STH210154_L_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176102/107084723/176102_STH210154_L_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176102/107084723/176102_STH210154_L_IMG_00_0001_max_476x317.jpeg","https://www.rightmove.co.uk/properties/107084723#/?channel=RES_LET"
65,"Branksome Road, Brixton, London","A beautiful , bright and open plan two bedroom flat - situated around a sixteen minute walk from Brixton Station.","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106135/133943030/106135_32271641_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106135/133943030/106135_32271641_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106135/133943030/106135_32271641_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133943030#/?channel=RES_LET"
